sku,brand,product_name,variant,perfume_type,gender,ml,barcode,sale_price,original_price,available,source_site,source_url,scraped_at
CACPECAAMPER50,CACHAREL,PERFUME CACHAREL AMOR AMOR EDT 50 ML MUJER (EDICION LIMITADA),,PERFUME,Mujer,50,,24990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/cacharel/perfume-cacharel-amor-amor-edt-50-ml-mujer-edicion-limitada/,2026-05-30
VICSPEVISEPER100,VICTORIA SECRET,PERFUME VICTORIA SECRET BOMBSHELL EDP 100ML MUJER NUEVO FORMATO,,PERFUME,Mujer,100,,66990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/victoria-secret/perfume-victoria-secret-bombshell-edp-100ml-mujer-nuevo-formato/,2026-05-30
ARMPEARODPER100,ARMAF,PERFUME ARMAF ODYSSEY LICHI LUSH EDP 100ML MUJER,,PERFUME,Mujer,100,,28990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/perfume-armaf-odyssey-lichi-lush-edp-100ml-mujer/,2026-05-30
ARMPEARODPER100,ARMAF,PERFUME ARMAF ODYSSEY PINK POP EDP 100ML MUJER,,PERFUME,Mujer,100,,28990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/perfume-armaf-odyssey-pink-pop-edp-100ml-mujer/,2026-05-30
MOSPEMOCHPER100,MOSCHINO,PERFUME MOSCHINO CHEAP AND CHIC SO REAL EDT 100ML MUJER,,PERFUME,Mujer,100,,31900,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/moschino/perfume-moschino-cheap-and-chic-so-real-edt-100ml-mujer/,2026-05-30
DOLATEDOANEDT100,DOLCE AND GABBANA,TESTER DOLCE AND GABBANA LIGHT BLUE SUMMER VIBES EDT 100ML MUJER,,EDT,Mujer,100,,36990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/dolce-gabbana/tester-dolce-and-gabbana-light-blue-summer-vibes-edt-100ml-mujer/,2026-05-30
BRISESBRSPUNK50,BRITNEY SPEARS,ESTUCHE BRITNEY SPEARS FANTASY 50ML+ MIDNIGHT FANTASY 50ML MUJER,,Unknown,Mujer,50,,25990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/britney-spears/estuche-britney-spears-fantasy-50ml-midnight-fantasy-50ml-mujer/,2026-05-30
ISSMTEISMIEDP100,ISSEY MIYAKE,TESTER ISSEY MIYAKE LEAU DISSEY POUR FEMME EDP INTENSE 100 ML MUJER (NUEVO EDP INTENSE),,EDP INTENSE,Mujer,100,,52990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/issey-miyake/tester-issey-miyake-leau-dissey-pour-femme-edp-intense-100-ml-mujer-nuevo-edp-intense/,2026-05-30
YVESPEYVSAPER90,YVES SAINT LAURENT,PERFUME YVES SAINT LAURENT LIBRE FLOWERS AND FLAMES EDP FLORALE 90 ML MUJER,,PERFUME,Mujer,90,,102990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/yves-saint-laurent/perfume-yves-saint-laurent-libre-flowers-and-flames-edp-florale-90-ml-mujer/,2026-05-30
JEAPPEJEPAPER100,JEAN PAUL GAULTIER,PERFUME JEAN PAUL GAULTIER LA BELLE FLOWER EDITION EDP 100 ML MUJER,,PERFUME,Mujer,100,,95990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/jean-paul-gaultier/perfume-jean-paul-gaultier-la-belle-flower-edition-edp-100-ml-mujer/,2026-05-30
CARHPECAHEPER100,CAROLINA HERRERA,PERFUME CAROLINA HERRERA CH WILD LOVE EDP 100 ML EDICION LIMITADA MUJER,,PERFUME,Mujer,100,,61990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/carolina-herrera/perfume-carolina-herrera-ch-wild-love-edp-100-ml-edicion-limitada-mujer/,2026-05-30
PACRPEPARAPER30,PACO RABANNE,PERFUME PACO RABANNE FAME EDP INTENSE 30 ML MUJER,,PERFUME,Mujer,30,,50990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/paco-rabanne/perfume-paco-rabanne-fame-edp-intense-30-ml-mujer/,2026-05-30
ARMPEARINPER105,ARMAF,PERFUME ARMAF INFINITY GOLD EDP 105 ML MUJER,,PERFUME,Mujer,105,,31990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/perfume-armaf-infinity-gold-edp-105-ml-mujer/,2026-05-30
ARMPEARREPER105,ARMAF,PERFUME ARMAF RED SKY EDP 105 ML MUJER,,PERFUME,Mujer,105,,23990,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/armaf/perfume-armaf-red-sky-edp-105-ml-mujer/,2026-05-30
PARCDEPACOPER200,PARIS CORNER,DESODORANTE PARIS CORNER TASKEEN LACTEA DIVINA PERFUME SPRAY 200 ML MUJER,,PERFUME,Mujer,200,,3200,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/paris-corner/desodorante-paris-corner-taskeen-lactea-divina-perfume-spray-200-ml-mujer/,2026-05-30
PARCDEPACOPER200,PARIS CORNER,DESODORANTE PARIS CORNER QISSA PINK PERFUME SPRAY 200 ML MUJER,,PERFUME,Mujer,200,,3200,,True,lacasadelperfume.cl,https://lacasadelperfume.cl/tienda/tienda/paris-corner/desodorante-paris-corner-qissa-pink-perfume-spray-200-ml-mujer/,2026-05-30
